"agreement_label","agreement_confidence","comment_id","topic","error"
"Agree",0.88,"climate_comment_231625","Global Climate Change And Sustainability",NA
"Agree",0.85,"climate_comment_247870","Global Climate Change And Sustainability",NA
"Mixed/Ambiguous",0.75,"climate_comment_244150","Global Climate Change And Sustainability",NA
"Mixed/Ambiguous",0.75,"climate_comment_226000","Climate Change Denial And Political Polarization",NA
"Agree",0.92,"climate_comment_247872","Global Climate Change And Sustainability",NA
"Agree",0.9,"climate_comment_203613","Global Climate Change And Sustainability",NA
"Mixed/Ambiguous",0.75,"climate_comment_231628","Global Climate Change And Sustainability",NA
"Agree",0.85,"climate_comment_274937","Global Climate Change And Sustainability",NA
"Disagree",0.92,"climate_comment_266680","Global Climate Change And Sustainability",NA
"Mixed/Ambiguous",0.75,"climate_comment_245249","Global Climate Change And Sustainability",NA
"Disagree",0.85,"climate_comment_190586","Global Climate Change And Sustainability",NA
"Disagree",0.92,"climate_comment_190588","Global Climate Change And Sustainability",NA
"Agree",0.88,"climate_comment_203615","Global Climate Change And Sustainability",NA
"Neither/Unclear",0.88,"climate_comment_203614","Global Climate Change And Sustainability",NA
"Mixed/Ambiguous",0.85,"climate_comment_245250","Global Climate Change And Sustainability",NA
"Agree",0.92,"climate_comment_203616","Global Climate Change And Sustainability",NA
"Agree",0.88,"climate_comment_245251","Global Climate Change And Sustainability",NA
"Agree",0.92,"climate_comment_187191","Global Climate Change And Sustainability",NA
"Disagree",0.92,"climate_comment_263780","Global Climate Change And Sustainability",NA
"Mixed/Ambiguous",0.75,"climate_comment_203617","Global Climate Change And Sustainability",NA
"Mixed/Ambiguous",0.75,"climate_comment_245252","Global Climate Change And Sustainability",NA
"Disagree",0.92,"climate_comment_209152","Global Climate Change And Sustainability",NA
"Mixed/Ambiguous",0.75,"climate_comment_194367","Global Climate Change And Sustainability",NA
"Disagree",0.92,"climate_comment_197245","Global Climate Change And Sustainability",NA
"Disagree",0.92,"climate_comment_204014","Global Climate Change And Sustainability",NA
"Agree",0.95,"climate_comment_204017","Global Climate Change And Sustainability",NA
"Neither/Unclear",0.9,"climate_comment_255682","Climate Migration And Coastal Resilience",NA
"Mixed/Ambiguous",0.75,"climate_comment_174800","Climate Migration And Coastal Resilience",NA
"Neither/Unclear",0.9,"climate_comment_188428","Global Climate Change And Sustainability",NA
"Disagree",0.95,"climate_comment_209154","Global Climate Change And Sustainability",NA
"Neither/Unclear",0.9,"climate_comment_179111","Global Climate Change And Sustainability",NA
"Disagree",0.92,"climate_comment_177226","Global Climate Change And Sustainability",NA
"Agree",0.85,"climate_comment_232157","Global Climate Change And Sustainability",NA
"Disagree",0.85,"climate_comment_179112","Global Climate Change And Sustainability",NA
"Mixed/Ambiguous",0.75,"climate_comment_204018","Global Climate Change And Sustainability",NA
"Mixed/Ambiguous",0.75,"climate_comment_204015","Global Climate Change And Sustainability",NA
"Disagree",0.92,"climate_comment_258411","Climate Change Denial And Political Polarization",NA
"Disagree",0.85,"climate_comment_246745","Global Climate Change And Sustainability",NA
"Neither/Unclear",0.85,"climate_comment_232158","Climate Migration And Coastal Resilience",NA
"Neither/Unclear",0.9,"climate_comment_212823","Global Climate Change And Sustainability",NA
"Disagree",0.85,"climate_comment_177227","Global Climate Change And Sustainability",NA
"Mixed/Ambiguous",0.75,"climate_comment_246747","Global Climate Change And Sustainability",NA
"Disagree",0.92,"climate_comment_216329","Global Climate Change And Sustainability",NA
"Mixed/Ambiguous",0.75,"climate_comment_246746","Global Climate Change And Sustainability",NA
"Disagree",0.92,"climate_comment_206062","Global Climate Change And Sustainability",NA
"Neither/Unclear",0.85,"climate_comment_206061","Global Climate Change And Sustainability",NA
"Disagree",0.92,"climate_comment_212824","Global Climate Change And Sustainability",NA
"Disagree",0.92,"climate_comment_212827","Global Climate Change And Sustainability",NA
"Agree",0.85,"climate_comment_252014","Global Climate Change And Sustainability",NA
"Disagree",0.92,"climate_comment_170469","Global Climate Change And Sustainability",NA
"Agree",0.9,"climate_comment_206063","Global Climate Change And Sustainability",NA
"Neither/Unclear",0.9,"climate_comment_202815","Global Climate Change And Sustainability",NA
"Mixed/Ambiguous",0.75,"climate_comment_246266","Global Climate Change And Sustainability",NA
"Mixed/Ambiguous",0.85,"climate_comment_273420","Global Climate Change And Sustainability",NA
"Agree",0.92,"climate_comment_255392","Global Climate Change And Sustainability",NA
"Mixed/Ambiguous",0.75,"climate_comment_246267","Global Climate Change And Sustainability",NA
"Disagree",0.9,"climate_comment_194091","Global Climate Change And Sustainability",NA
"Disagree",0.95,"climate_comment_175642","Global Climate Change And Sustainability",NA
"Neither/Unclear",0.85,"climate_comment_246268","Global Climate Change And Sustainability",NA
"Mixed/Ambiguous",0.75,"climate_comment_269503","Global Climate Change And Sustainability",NA
"Disagree",0.85,"climate_comment_195484","Global Climate Change And Sustainability",NA
"Agree",0.92,"climate_comment_175643","Global Climate Change And Sustainability",NA
"Agree",0.92,"climate_comment_255180","Climate Change Denial And Political Polarization",NA
"Disagree",0.92,"climate_comment_194090","Global Climate Change And Sustainability",NA
"Mixed/Ambiguous",0.75,"climate_comment_231002","Global Climate Change And Sustainability",NA
"Agree",0.85,"climate_comment_232597","Global Climate Change And Sustainability",NA
"Agree",0.85,"climate_comment_175645","Global Climate Change And Sustainability",NA
"Disagree",0.92,"climate_comment_256248","Global Climate Change And Sustainability",NA
"Disagree",0.9,"climate_comment_264807","Global Climate Change And Sustainability",NA
"Disagree",0.85,"climate_comment_182011","Global Climate Change And Sustainability",NA
"Disagree",0.92,"climate_comment_225563","Climate Change Denial And Political Polarization",NA
"Agree",0.85,"climate_comment_234552","Climate Change Denial And Political Polarization",NA
"Mixed/Ambiguous",0.75,"climate_comment_210668","Global Climate Change And Sustainability",NA
"Agree",0.85,"climate_comment_234553","Climate Change Denial And Political Polarization",NA
"Mixed/Ambiguous",0.75,"climate_comment_256249","Global Climate Change And Sustainability",NA
"Neither/Unclear",0.9,"climate_comment_213239","Global Climate Change And Sustainability",NA
"Mixed/Ambiguous",0.75,"climate_comment_216331","Global Climate Change And Sustainability",NA
"Agree",0.9,"climate_comment_251440","Climate Change Denial And Political Polarization",NA
"Neither/Unclear",0.9,"climate_comment_210669","Global Climate Change And Sustainability",NA
"Neither/Unclear",0.9,"climate_comment_279386","Global Climate Change And Sustainability",NA
"Neither/Unclear",0.9,"climate_comment_262829","Climate Change Denial And Political Polarization",NA
"Agree",0.9,"climate_comment_247408","Global Climate Change And Sustainability",NA
"Disagree",0.92,"climate_comment_201727","Global Climate Change And Sustainability",NA
"Neither/Unclear",0.9,"climate_comment_262830","Climate Change Denial And Political Polarization",NA
"Mixed/Ambiguous",0.75,"climate_comment_214710","Global Climate Change And Sustainability",NA
"Disagree",0.92,"climate_comment_207852","Global Climate Change And Sustainability",NA
"Disagree",0.85,"climate_comment_201726","Global Climate Change And Sustainability",NA
"Disagree",0.95,"climate_comment_188004","Global Climate Change And Sustainability",NA
"Mixed/Ambiguous",0.75,"climate_comment_242992","Global Climate Change And Sustainability",NA
"Disagree",0.85,"climate_comment_240826","Global Climate Change And Sustainability",NA
"Agree",0.9,"climate_comment_221985","Climate Change Denial And Political Polarization",NA
"Mixed/Ambiguous",0.75,"climate_comment_207853","Global Climate Change And Sustainability",NA
"Neither/Unclear",0.9,"climate_comment_234554","Climate Change Denial And Political Polarization",NA
"Agree",0.92,"climate_comment_171971","Global Climate Change And Sustainability",NA
"Mixed/Ambiguous",0.75,"climate_comment_211648","Global Climate Change And Sustainability",NA
"Neither/Unclear",0.85,"climate_comment_274192","Global Climate Change And Sustainability",NA
"Disagree",0.92,"climate_comment_189856","Global Climate Change And Sustainability",NA
"Disagree",0.95,"climate_comment_257763","Global Climate Change And Sustainability",NA
"Mixed/Ambiguous",0.75,"climate_comment_240827","Global Climate Change And Sustainability",NA
"Mixed/Ambiguous",0.75,"climate_comment_240828","Global Climate Change And Sustainability",NA
"Disagree",0.92,"climate_comment_277933","Climate Migration And Coastal Resilience",NA
"Disagree",0.85,"climate_comment_188841","Global Climate Change And Sustainability",NA
"Mixed/Ambiguous",0.75,"climate_comment_247485","Global Climate Change And Sustainability",NA
"Neither/Unclear",0.9,"climate_comment_183620","Global Climate Change And Sustainability",NA
"Disagree",0.92,"climate_comment_234551","Climate Change Denial And Political Polarization",NA
"Mixed/Ambiguous",0.65,"climate_comment_192264","Climate Change Denial And Political Polarization",NA
"Agree",0.88,"climate_comment_254606","Global Climate Change And Sustainability",NA
"Mixed/Ambiguous",0.75,"climate_comment_242990","Global Climate Change And Sustainability",NA
"Mixed/Ambiguous",0.75,"climate_comment_188843","Global Climate Change And Sustainability",NA
"Agree",0.85,"climate_comment_224006","Global Climate Change And Sustainability",NA
"Mixed/Ambiguous",0.75,"climate_comment_183737","Global Climate Change And Sustainability",NA
"Mixed/Ambiguous",0.75,"climate_comment_254607","Global Climate Change And Sustainability",NA
"Neither/Unclear",0.9,"climate_comment_259432","Climate Change Denial And Political Polarization",NA
"Disagree",0.92,"climate_comment_254608","Global Climate Change And Sustainability",NA
"Disagree",0.85,"climate_comment_197942","Global Climate Change And Sustainability",NA
"Disagree",0.95,"climate_comment_185324","Global Climate Change And Sustainability",NA
"Agree",0.92,"climate_comment_194165","Global Climate Change And Sustainability",NA
"Mixed/Ambiguous",0.75,"climate_comment_175334","Global Climate Change And Sustainability",NA
"Mixed/Ambiguous",0.75,"climate_comment_244343","Global Climate Change And Sustainability",NA
"Neither/Unclear",0.9,"climate_comment_223314","Climate Change Denial And Political Polarization",NA
"Mixed/Ambiguous",0.75,"climate_comment_244342","Global Climate Change And Sustainability",NA
"Agree",0.92,"climate_comment_248634","Global Climate Change And Sustainability",NA
"Mixed/Ambiguous",0.75,"climate_comment_234462","Global Climate Change And Sustainability",NA
"Disagree",0.9,"climate_comment_216162","Global Climate Change And Sustainability",NA
"Mixed/Ambiguous",0.75,"climate_comment_216961","Global Climate Change And Sustainability",NA
"Agree",0.9,"climate_comment_176687","Global Climate Change And Sustainability",NA
"Neither/Unclear",0.9,"climate_comment_190705","Global Climate Change And Sustainability",NA
"Mixed/Ambiguous",0.75,"climate_comment_176686","Global Climate Change And Sustainability",NA
"Mixed/Ambiguous",0.65,"climate_comment_173463","Global Climate Change And Sustainability",NA
"Agree",0.92,"climate_comment_208280","Global Climate Change And Sustainability",NA
"Mixed/Ambiguous",0.75,"climate_comment_176685","Global Climate Change And Sustainability",NA
"Agree",0.9,"climate_comment_208277","Global Climate Change And Sustainability",NA
"Neither/Unclear",0.85,"climate_comment_208279","Global Climate Change And Sustainability",NA
"Agree",0.85,"climate_comment_182642","Global Climate Change And Sustainability",NA
"Disagree",0.92,"climate_comment_244344","Global Climate Change And Sustainability",NA
"Disagree",0.9,"climate_comment_228913","Global Climate Change And Sustainability",NA
"Agree",0.92,"climate_comment_242931","Climate Change Denial And Political Polarization",NA
"Agree",0.85,"climate_comment_259155","Global Climate Change And Sustainability",NA
"Mixed/Ambiguous",0.75,"climate_comment_278973","Global Climate Change And Sustainability",NA
"Disagree",0.92,"climate_comment_216117","Global Climate Change And Sustainability",NA
"Disagree",0.9,"climate_comment_228788","Global Climate Change And Sustainability",NA
"Disagree",0.85,"climate_comment_216118","Global Climate Change And Sustainability",NA
"Disagree",0.85,"climate_comment_202118","Climate Change Denial And Political Polarization",NA
"Neither/Unclear",0.9,"climate_comment_278861","Global Climate Change And Sustainability",NA
"Mixed/Ambiguous",0.75,"climate_comment_230307","Global Climate Change And Sustainability",NA
"Agree",0.85,"climate_comment_259157","Global Climate Change And Sustainability",NA
"Disagree",0.92,"climate_comment_202119","Climate Change Denial And Political Polarization",NA
"Mixed/Ambiguous",0.75,"climate_comment_259156","Global Climate Change And Sustainability",NA
"Mixed/Ambiguous",0.75,"climate_comment_195152","Global Climate Change And Sustainability",NA
"Disagree",0.92,"climate_comment_207996","Global Climate Change And Sustainability",NA
"Mixed/Ambiguous",0.75,"climate_comment_229127","Global Climate Change And Sustainability",NA
"Mixed/Ambiguous",0.75,"climate_comment_263998","Global Climate Change And Sustainability",NA
"Mixed/Ambiguous",0.75,"climate_comment_259159","Global Climate Change And Sustainability",NA
"Disagree",0.85,"climate_comment_230010","Climate Migration And Coastal Resilience",NA
"Agree",0.92,"climate_comment_181850","Global Climate Change And Sustainability",NA
"Disagree",0.92,"climate_comment_246994","Global Climate Change And Sustainability",NA
"Disagree",0.85,"climate_comment_229129","Global Climate Change And Sustainability",NA
"Agree",0.85,"climate_comment_170709","Global Climate Change And Sustainability",NA
"Agree",0.85,"climate_comment_175138","Global Climate Change And Sustainability",NA
"Agree",0.88,"climate_comment_195327","Global Climate Change And Sustainability",NA
"Agree",0.88,"climate_comment_187982","Global Climate Change And Sustainability",NA
"Disagree",0.92,"climate_comment_176975","Global Climate Change And Sustainability",NA
"Neither/Unclear",0.9,"climate_comment_182156","Global Climate Change And Sustainability",NA
"Mixed/Ambiguous",0.75,"climate_comment_229229","Global Climate Change And Sustainability",NA
"Disagree",0.95,"climate_comment_176976","Global Climate Change And Sustainability",NA
"Mixed/Ambiguous",0.85,"climate_comment_239226","Global Climate Change And Sustainability",NA
"Mixed/Ambiguous",0.75,"climate_comment_202120","Climate Change Denial And Political Polarization",NA
"Disagree",0.85,"climate_comment_250078","Global Climate Change And Sustainability",NA
"Disagree",0.92,"climate_comment_208298","Global Climate Change And Sustainability",NA
"Disagree",0.95,"climate_comment_208060","Global Climate Change And Sustainability",NA
"Agree",0.85,"climate_comment_208061","Global Climate Change And Sustainability",NA
"Disagree",0.95,"climate_comment_176977","Global Climate Change And Sustainability",NA
"Disagree",0.9,"climate_comment_239406","Global Climate Change And Sustainability",NA
"Agree",0.92,"climate_comment_280148","Global Climate Change And Sustainability",NA
"Disagree",0.85,"climate_comment_267937","Global Climate Change And Sustainability",NA
"Disagree",0.95,"climate_comment_208301","Global Climate Change And Sustainability",NA
"Mixed/Ambiguous",0.85,"climate_comment_208300","Global Climate Change And Sustainability",NA
"Disagree",0.95,"climate_comment_208299","Global Climate Change And Sustainability",NA
"Mixed/Ambiguous",0.75,"climate_comment_267938","Global Climate Change And Sustainability",NA
"Agree",0.92,"climate_comment_280149","Global Climate Change And Sustainability",NA
"Mixed/Ambiguous",0.75,"climate_comment_239405","Global Climate Change And Sustainability",NA
"Agree",0.85,"climate_comment_280577","Global Climate Change And Sustainability",NA
"Mixed/Ambiguous",0.75,"climate_comment_219053","Global Climate Change And Sustainability",NA
"Agree",0.85,"climate_comment_212978","Global Climate Change And Sustainability",NA
"Disagree",0.85,"climate_comment_262505","Global Climate Change And Sustainability",NA
"Agree",0.9,"climate_comment_199648","Global Climate Change And Sustainability",NA
"Agree",0.85,"climate_comment_262187","Global Climate Change And Sustainability",NA
"Mixed/Ambiguous",0.75,"climate_comment_193161","Global Climate Change And Sustainability",NA
"Disagree",0.92,"climate_comment_184003","Global Climate Change And Sustainability",NA
"Mixed/Ambiguous",0.75,"climate_comment_193160","Global Climate Change And Sustainability",NA
"Mixed/Ambiguous",0.75,"climate_comment_202287","Global Climate Change And Sustainability",NA
"Disagree",0.92,"climate_comment_221356","Global Climate Change And Sustainability",NA
"Disagree",0.95,"climate_comment_244606","Global Climate Change And Sustainability",NA
"Disagree",0.92,"climate_comment_257487","Global Climate Change And Sustainability",NA
"Neither/Unclear",0.9,"climate_comment_221355","Global Climate Change And Sustainability",NA
"Disagree",0.85,"climate_comment_186420","Global Climate Change And Sustainability",NA
"Mixed/Ambiguous",0.75,"climate_comment_170613","Global Climate Change And Sustainability",NA
"Mixed/Ambiguous",0.75,"climate_comment_259259","Global Climate Change And Sustainability",NA
"Mixed/Ambiguous",0.65,"climate_comment_191827","Global Climate Change And Sustainability",NA
"Disagree",0.9,"climate_comment_181639","Global Climate Change And Sustainability",NA
"Agree",0.92,"climate_comment_237115","Global Climate Change And Sustainability",NA
"Mixed/Ambiguous",0.75,"climate_comment_262188","Global Climate Change And Sustainability",NA
"Disagree",0.92,"climate_comment_228525","Global Climate Change And Sustainability",NA
"Disagree",0.95,"climate_comment_226112","Global Climate Change And Sustainability",NA
"Agree",0.85,"climate_comment_254708","Climate Migration And Coastal Resilience",NA
"Disagree",0.95,"climate_comment_198377","Global Climate Change And Sustainability",NA
"Neither/Unclear",0.9,"climate_comment_266726","Global Climate Change And Sustainability",NA
"Mixed/Ambiguous",0.75,"climate_comment_181640","Progressive Taxation For Climate Mitigation",NA
"Mixed/Ambiguous",0.75,"climate_comment_274523","Global Climate Change And Sustainability",NA
"Disagree",0.92,"climate_comment_183632","Global Climate Change And Sustainability",NA
"Mixed/Ambiguous",0.75,"climate_comment_234796","Global Climate Change And Sustainability",NA
"Disagree",0.92,"climate_comment_205433","Global Climate Change And Sustainability",NA
"Disagree",0.92,"climate_comment_225914","Global Climate Change And Sustainability",NA
"Mixed/Ambiguous",0.75,"climate_comment_193050","Global Climate Change And Sustainability",NA
"Agree",0.92,"climate_comment_170178","Global Climate Change And Sustainability",NA
"Disagree",0.92,"climate_comment_176058","Global Climate Change And Sustainability",NA
"Agree",0.9,"climate_comment_274524","Global Climate Change And Sustainability",NA
"Agree",0.85,"climate_comment_178079","Global Climate Change And Sustainability",NA
"Disagree",0.9,"climate_comment_169951","Global Climate Change And Sustainability",NA
"Agree",0.95,"climate_comment_231567","Global Climate Change And Sustainability",NA
"Mixed/Ambiguous",0.75,"climate_comment_238320","Global Climate Change And Sustainability",NA
"Agree",0.9,"climate_comment_265686","Climate Change Denial And Political Polarization",NA
"Disagree",0.92,"climate_comment_174387","Climate Change Denial And Political Polarization",NA
"Agree",0.95,"climate_comment_215104","Global Climate Change And Sustainability",NA
"Disagree",0.92,"climate_comment_189830","Climate Change Denial And Political Polarization",NA
"Neither/Unclear",0.85,"climate_comment_270356","Progressive Taxation For Climate Mitigation",NA
"Agree",0.9,"climate_comment_253295","Global Climate Change And Sustainability",NA
"Disagree",0.95,"climate_comment_189829","Climate Change Denial And Political Polarization",NA
"Mixed/Ambiguous",0.75,"climate_comment_215103","Global Climate Change And Sustainability",NA
"Mixed/Ambiguous",0.85,"climate_comment_213814","Global Climate Change And Sustainability",NA
"Disagree",0.95,"climate_comment_221666","Climate Change Denial And Political Polarization",NA
"Disagree",0.92,"climate_comment_221663","Climate Change Denial And Political Polarization",NA
"Disagree",0.92,"climate_comment_264194","Global Climate Change And Sustainability",NA
"Disagree",0.85,"climate_comment_213815","Global Climate Change And Sustainability",NA
"Disagree",0.95,"climate_comment_181662","Climate Change Denial And Political Polarization",NA
"Mixed/Ambiguous",0.75,"climate_comment_218432","Global Climate Change And Sustainability",NA
"Disagree",0.92,"climate_comment_170161","Global Climate Change And Sustainability",NA
"Disagree",0.95,"climate_comment_242717","Global Climate Change And Sustainability",NA
"Disagree",0.9,"climate_comment_215102","Global Climate Change And Sustainability",NA
"Mixed/Ambiguous",0.75,"climate_comment_218433","Global Climate Change And Sustainability",NA
"Disagree",0.85,"climate_comment_275361","Global Climate Change And Sustainability",NA
"Mixed/Ambiguous",0.75,"climate_comment_218434","Global Climate Change And Sustainability",NA
"Disagree",0.85,"climate_comment_218435","Global Climate Change And Sustainability",NA
"Disagree",0.95,"climate_comment_242716","Climate Change Denial And Political Polarization",NA
"Agree",0.85,"climate_comment_223439","Climate Change Denial And Political Polarization",NA
"Disagree",0.99,"climate_comment_242719","Global Climate Change And Sustainability",NA
"Disagree",0.85,"climate_comment_242718","Climate Change Denial And Political Polarization",NA
"Mixed/Ambiguous",0.75,"climate_comment_226792","Global Climate Change And Sustainability",NA
"Agree",0.88,"climate_comment_280027","Global Climate Change And Sustainability",NA
"Agree",0.85,"climate_comment_247459","Global Climate Change And Sustainability",NA
"Disagree",0.85,"climate_comment_241832","Global Climate Change And Sustainability",NA
"Neither/Unclear",0.9,"climate_comment_223441","Climate Change Denial And Political Polarization",NA
"Disagree",0.85,"climate_comment_223088","Global Climate Change And Sustainability",NA
"Agree",0.85,"climate_comment_173507","Global Climate Change And Sustainability",NA
"Agree",0.9,"climate_comment_169300","Climate Change Denial And Political Polarization",NA
"Neither/Unclear",0.9,"climate_comment_169303","Climate Change Denial And Political Polarization",NA
"Agree",0.85,"climate_comment_169301","Climate Change Denial And Political Polarization",NA
"Agree",0.88,"climate_comment_173508","Global Climate Change And Sustainability",NA
"Disagree",0.85,"climate_comment_231127","Climate Change Denial And Political Polarization",NA
"Mixed/Ambiguous",0.75,"climate_comment_181913","Global Climate Change And Sustainability",NA
"Disagree",0.85,"climate_comment_176236","Climate Change Denial And Political Polarization",NA
"Mixed/Ambiguous",0.75,"climate_comment_171706","Global Climate Change And Sustainability",NA
"Agree",0.85,"climate_comment_264221","Global Climate Change And Sustainability",NA
"Disagree",0.9,"climate_comment_276027","Plastic Waste Solutions And Technology",NA
"Agree",0.85,"climate_comment_199960","Climate Change Denial And Political Polarization",NA
"Disagree",0.9,"climate_comment_242614","Climate Change Denial And Political Polarization",NA
"Neither/Unclear",0.9,"climate_comment_225611","Climate Impact On Food Preparation",NA
"Agree",0.92,"climate_comment_182627","Climate Change Denial And Political Polarization",NA
"Agree",0.85,"climate_comment_246077","Global Climate Change And Sustainability",NA
"Disagree",0.95,"climate_comment_181946","Global Climate Change And Sustainability",NA
"Disagree",0.92,"climate_comment_223442","Climate Change Denial And Political Polarization",NA
"Disagree",0.85,"climate_comment_180805","Global Climate Change And Sustainability",NA
"Mixed/Ambiguous",0.75,"climate_comment_242615","Climate Change Denial And Political Polarization",NA
"Mixed/Ambiguous",0.75,"climate_comment_256725","Global Climate Change And Sustainability",NA
"Disagree",0.85,"climate_comment_209225","Global Climate Change And Sustainability",NA
"Disagree",0.85,"climate_comment_182629","Global Climate Change And Sustainability",NA
"Disagree",0.9,"climate_comment_194946","Climate Change Denial And Political Polarization",NA
"Agree",0.85,"climate_comment_204154","Global Climate Change And Sustainability",NA
"Agree",0.95,"climate_comment_218578","Global Climate Change And Sustainability",NA
"Agree",0.92,"climate_comment_259612","Global Climate Change And Sustainability",NA
"Disagree",0.95,"climate_comment_199904","Influence Of Public Figures On Climate Discourse",NA
"Disagree",0.95,"climate_comment_222521","Global Climate Change And Sustainability",NA
"Disagree",0.92,"climate_comment_259967","Global Climate Change And Sustainability",NA
"Agree",0.92,"climate_comment_277016","Global Climate Change And Sustainability",NA
"Disagree",0.9,"climate_comment_222112","Global Climate Change And Sustainability",NA
"Agree",0.85,"climate_comment_191585","Climate Change Denial And Political Polarization",NA
"Agree",0.92,"climate_comment_277831","Global Climate Change And Sustainability",NA
"Disagree",0.85,"climate_comment_277832","Climate Change Denial And Political Polarization",NA
"Mixed/Ambiguous",0.75,"climate_comment_189704","Global Climate Change And Sustainability",NA
"Disagree",0.95,"climate_comment_246272","Climate Change Denial And Political Polarization",NA
"Mixed/Ambiguous",0.75,"climate_comment_172868","Global Climate Change And Sustainability",NA
"Disagree",0.92,"climate_comment_237737","Global Climate Change And Sustainability",NA
"Disagree",0.9,"climate_comment_207779","Climate Change Denial And Political Polarization",NA
"Disagree",0.92,"climate_comment_180638","Global Climate Change And Sustainability",NA
"Disagree",0.85,"climate_comment_215995","Global Climate Change And Sustainability",NA
"Agree",0.9,"climate_comment_250444","Global Climate Change And Sustainability",NA
"Disagree",0.9,"climate_comment_239893","Influence Of Public Figures On Climate Discourse",NA
"Disagree",0.92,"climate_comment_231315","Global Climate Change And Sustainability",NA
"Disagree",0.85,"climate_comment_207781","Climate Change Denial And Political Polarization",NA
"Mixed/Ambiguous",0.75,"climate_comment_231316","Global Climate Change And Sustainability",NA
"Agree",0.95,"climate_comment_248602","Global Climate Change And Sustainability",NA
"Neither/Unclear",0.9,"climate_comment_229773","Climate Change Denial And Political Polarization",NA
"Disagree",0.95,"climate_comment_232985","Global Climate Change And Sustainability",NA
"Disagree",0.85,"climate_comment_225472","Climate Change Denial And Political Polarization",NA
"Mixed/Ambiguous",0.75,"climate_comment_246386","Global Climate Change And Sustainability",NA
"Agree",0.85,"climate_comment_229089","Climate Change Denial And Political Polarization",NA
"Disagree",0.92,"climate_comment_207782","Climate Change Denial And Political Polarization",NA
"Disagree",0.92,"climate_comment_225471","Climate Change Denial And Political Polarization",NA
"Agree",0.92,"climate_comment_224786","Global Climate Change And Sustainability",NA
"Neither/Unclear",0.9,"climate_comment_229775","Climate Change Denial And Political Polarization",NA
"Disagree",0.85,"climate_comment_229774","Climate Change Denial And Political Polarization",NA
"Mixed/Ambiguous",0.75,"climate_comment_224785","Global Climate Change And Sustainability",NA
"Disagree",0.92,"climate_comment_235116","Influence Of Public Figures On Climate Discourse",NA
"Mixed/Ambiguous",0.75,"climate_comment_246387","Global Climate Change And Sustainability",NA
"Mixed/Ambiguous",0.75,"climate_comment_229776","Climate Change Denial And Political Polarization",NA
"Mixed/Ambiguous",0.85,"climate_comment_222251","Global Climate Change And Sustainability",NA
"Agree",0.9,"climate_comment_208925","Climate Change Denial And Political Polarization",NA
"Agree",0.95,"climate_comment_260363","Global Climate Change And Sustainability",NA
"Agree",0.92,"climate_comment_225580","Global Climate Change And Sustainability",NA
"Disagree",0.92,"climate_comment_239453","Global Climate Change And Sustainability",NA
"Disagree",0.9,"climate_comment_235115","Climate Change Denial And Political Polarization",NA
"Disagree",0.92,"climate_comment_255483","Global Climate Change And Sustainability",NA
"Neither/Unclear",0.88,"climate_comment_200961","Global Climate Change And Sustainability",NA
"Disagree",0.95,"climate_comment_225114","Global Climate Change And Sustainability",NA
"Disagree",0.95,"climate_comment_249890","Global Climate Change And Sustainability",NA
"Disagree",0.85,"climate_comment_275482","Climate Change Denial And Political Polarization",NA
